kpi_name,category,target,actual,variance,variance_pct,status,trend,owner,measurement_period,notes
Monthly Recurring Revenue (MRR),Financial,25000,22800,-2200,-8.8,At Risk,Up,CFO,Monthly,Strong Q2 pipeline expected to close gap
Annual Recurring Revenue (ARR),Financial,300000,273600,-26400,-8.8,At Risk,Up,CFO,Annual,Tracking with MRR improvement trajectory
Gross Profit Margin,Financial,80.0,78.5,-1.5,-1.9,On Track,Stable,CFO,Monthly,Infrastructure optimization reducing COGS next month
Net Profit Margin,Financial,15.0,8.2,-6.8,-45.3,Behind,Up,CFO,Monthly,Hiring costs impacting — expected to normalize Q3
Customer Acquisition Cost (CAC),Sales,750,820,70,9.3,At Risk,Down,VP Sales,Monthly,New channel mix should reduce by 12% next quarter
Customer Lifetime Value (LTV),Sales,4500,4167,-333,-7.4,On Track,Up,VP Sales,Quarterly,Improving with reduced churn and higher ARPU
LTV:CAC Ratio,Sales,5.0,5.1,0.1,2.0,On Track,Up,VP Sales,Quarterly,Above healthy threshold of 3:1
Monthly Churn Rate,Customer Success,2.0,2.4,0.4,20.0,At Risk,Down,VP CS,Monthly,Onboarding improvements deployed — monitoring impact
Net Promoter Score (NPS),Customer Success,50,42,-8,-16.0,Behind,Stable,VP CS,Quarterly,Action plan: faster support response + feature requests
Customer Satisfaction (CSAT),Customer Success,90.0,87.5,-2.5,-2.8,On Track,Up,VP CS,Monthly,Up from 84 last month after UX improvements
Support Ticket Resolution Time (hours),Customer Success,4.0,5.2,1.2,30.0,Behind,Down,Support Lead,Weekly,Hiring 2 additional support engineers in March
Website Conversion Rate (%),Marketing,3.5,2.8,-0.7,-20.0,Behind,Stable,VP Marketing,Monthly,A/B testing new landing pages — results in 2 weeks
Qualified Leads per Month,Marketing,120,98,-22,-18.3,Behind,Up,VP Marketing,Monthly,Content strategy shift showing early positive signals
Employee Satisfaction (eNPS),People,40,35,-5,-12.5,At Risk,Stable,HR Director,Quarterly,Launching new benefits package next month
Revenue per Employee,Operations,18000,15200,-2800,-15.6,At Risk,Up,COO,Monthly,Improving with each hire as team scales
